"Sample ID","Bioproject ID","Biosample ID","Species","Biotic Relationship","Extreme Environment","Cell Arrangement","Cell Shape","Colony Color","Energy Source","Habitat","Oxygen","Latitude","Longitude","Elevation","Collection Method","Collection Date","Storage Method","Originating Lab","Sample Provider","GEO Location","Contact Email","Description"
"P10K-MW-000011","PRJCA003485","SAMC247150","Parauronema sp. SZ","Free living-endophytic","Undefined","Singles","Ovoid-shaped","Colorless","Heterotroph","Marine water","Aerobe","22.6","113.8","0","Enrichment","2018-06","Organic medium","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Guangdong;Shenzhen","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000012","PRJCA003485","SAMC247145","Uronema marinum","Free living-endophytic","Undefined","Singles","Ovoid-shaped","Colorless","Heterotroph","Marine water","Aerobe","36.05","120.33","0","PFU","2011-08","Organic medium","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;ShanDong;Qingdao","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000013","PRJCA003485","SAMC247147","Paralembus sp. QD","Free living-endophytic","Undefined","Singles","Ovoid-shaped","Colorless","Heterotroph","Marine water","Aerobe","36.05","120.33","0","PFU","2012-08","Organic medium","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;ShanDong;Qingdao","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000014","PRJCA009962","SAMC799965","Vorticella campanula","Free living","Undefined","Singles","Bell-shaped","Colorless","Heterotroph","NA","Aerobe","NA","NA","NA","Enrichment","NA","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","NA","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000015","PRJCA009962","SAMC799966","Zoothamnium arbuscula","Free living","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","Enrichment","NA","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","NA","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000016","PRJCA009962","SAMC799967","Epistylis sp.","Free living","Undefined","Singles","Bell-shaped","Colorless","Heterotroph","NA","Aerobe","NA","NA","NA","Enrichment","NA","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","NA","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000017","PRJCA009852","SAMC787839","Spirostomum minus","Free living","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","Enrichment","NA","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","NA","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000018","PRJCA017400","SAMC2820585","Oligohymenophorea sp.1 P10K","Free living","Undefined","Singles","Undefined","Undefined","Undefined","Contaminated water","Aerobe","45.954765","126.72146","132.11","Microabsorption method","2019-09","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Heilongjiang;Harbin","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000019","PRJCA017400","SAMC2820586","Glaucomidae sp.1 P10K","Free living","High Altitude","Singles","Undefined","Undefined","Undefined","Fresh water","Aerobe","42.03911","128.05629","1963","Microabsorption method","2019-09","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Jilin;Yanbian;Changbai Mountain Scenic Area","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000020","PRJCA017400","SAMC2820587","Tetrahymena rostrata strain P10K-1","Free living","High Altitude","Singles","Ovoid-shaped","Colorless","Heterotroph","Hot spring","Aerobe","42.04089","128.05663","1925","Microabsorption method","2019-09","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Jilin;Yanbian;Changbai Mountain Scenic Area","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000021","PRJCA017400","SAMC2820588","Tetrahymena rostrata strain P10K-2","Free living","Undefined","Singles","Ovoid-shaped","Colorless","Heterotroph","Moss","Aerobe","25.138748","102.74766","NA","Microabsorption method","2019-10","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Yunnan;Kunming","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000022","PRJCA017400","SAMC2820589","Glaucoma scintillans strain P10K-1","Free living","High Altitude","Singles","Ovoid-shaped","Colorless","Heterotroph","Fresh water","Aerobe","29.180798","95.00257","543.75","Microabsorption method","2019-10","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Tibet;Nyingchi","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000023","PRJCA017400","SAMC2820590","Tetrahymena tropicalis strain P10K-1","Free living","High Altitude","Singles","Ovoid-shaped","Colorless","Heterotroph","Fresh water","Aerobe","29.250557","95.19381","790","Microabsorption method","2019-10","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Tibet;Nyingchi","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000024","PRJCA017400","SAMC2820591","Tetrahymena tropicalis strain P10K-2","Free living","Heavy metal pollution(Cd)","Singles","Ovoid-shaped","Colorless","Heterotroph","Heavy metal contaminated area","Aerobe","27.23977","113.47053","109","Microabsorption method","2019-11","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Hunan;Zhuzhou;Youxian","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000025","PRJCA017400","SAMC2820592","Colpidium striatum strain P10K-1","Free living","High Altitude","Singles","Ovoid-shaped","Colorless","Heterotroph","Lab culture","Aerobe","29.746202","91.155624","3949.76","Microabsorption method","2019-07","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Tibet;Lhasa","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000026","PRJCA017400","SAMC2820593","Bryometopus atypicus strain P10K-1","Free living","High Altitude","Singles","Kidney-shaped","Colorless","Heterotroph","Moss","Aerobe","30.950932","92.61299","4705","Microabsorption method","2019-08","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Tibet;Nagchu","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000027","PRJCA017400","SAMC2820594","Glaucomidae sp.2 P10K","Free living","Undefined","Singles","Undefined","Undefined","Undefined","Fresh water","Aerobe","29.34483","110.46198","464.91","Microabsorption method","2019-10","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Hunan;Zhangjiajie","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000028","PRJCA017400","SAMC2820595","Colpoda maupasi strain P10K-1","Free living","Undefined","Singles","Kidney-shaped","Colorless","Heterotroph","Moss","Aerobe","25.138748","102.74766","NA","Microabsorption method","2019-10","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Yunnan;Kunming","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000029","PRJCA017400","SAMC2820596","Colpoda maupasi strain P10K-2","Free living","Undefined","Singles","Kidney-shaped","Colorless","Heterotroph","Moss","Aerobe","30.173986","112.89517","NA","Microabsorption method","2019-10","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Hubei;Qianjiang","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000030","PRJCA017400","SAMC2820597","Colpoda maupasi strain P10K-3","Free living","High Altitude","Singles","Kidney-shaped","Colorless","Heterotroph","Moss","Aerobe","29.214071","95.09121","1000","Microabsorption method","2019-10","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Tibet;Nyingchi","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000031","PRJCA017400","SAMC2820598","Frontonia sp.1 P10K","Free living","High Altitude","Singles","Ovoid-shaped","Colorless","Heterotroph","Moss","Aerobe","29.440704","95.67461","1836.93","Microabsorption method","2019-10","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Tibet;Nyingchi","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000032","PRJCA017400","SAMC2820599","Oligohymenophorea sp.2 P10K","Free living","Heavy metal pollution(Hg)","Singles","Undefined","Undefined","Undefined","Heavy metal contaminated area","Aerobe","27.509539","109.20661","805.66","Microabsorption method","2019-11","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Guizhou;Wanshan","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000033","PRJCA017400","SAMC2820600","Colpoda maupasi strain P10K-4","Free living","Heavy metal pollution(Hg)","Singles","Kidney-shaped","Colorless","Heterotroph","Heavy metal contaminated area","Aerobe","27.508884","109.21109","784.16","Microabsorption method","2019-11","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Guizhou;Wanshan","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000034","PRJCA017400","SAMC2820601","Glaucoma sp.1 P10K","Free living","Sewage plant","Singles","Ovoid-shaped","Colorless","Heterotroph","Sewage","Aerobe","30.673767","111.28552","33.58","Microabsorption method","2019-12","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Hubei;Yichang","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000035","PRJCA017400","SAMC2820602","Paramecium polycaryum strain P10K-1","Free living","Sewage plant","Singles","Shoe-shaped","Colorless","Heterotroph","Sewage","Aerobe","30.569632","111.82837","36.83","Microabsorption method","2019-12","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Hubei;Yichang","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000036","PRJCA017400","SAMC2820603","Frontoniidae sp.3 P10K","Free living","Undefined","Singles","Ovoid-shaped","Colorless","Heterotroph","Fresh water","Aerobe","22.898855","113.42767","NA","Microabsorption method","2019-12","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Guangdong;Guangzhou","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000037","PRJCA017400","SAMC2820604","Obertrumia georgiana strain P10K-1","Free living","Heavy metal pollution(Hg)","Singles","Ovoid-shaped","Colorless","Heterotroph","Heavy metal contaminated area","Aerobe","27.635065","109.39003","226.06","Microabsorption method","2019-11","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Guizhou;Wanshan","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000038","PRJCA017400","SAMC2820605","Frontoniidae sp. bLPN3","Free living","Undefined","Singles","Ovoid-shaped","Colorless","Heterotroph","Fresh water","Aerobe","NA","NA","NA","Microabsorption method","2020-01","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Yunnan","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000039","PRJCA017400","SAMC2820606","Tetrahymena farahensis strain P10K-1","Free living","Undefined","Singles","Ovoid-shaped","Colorless","Heterotroph","Fresh water","Aerobe","46.52918","125.1596","153.96","Microabsorption method","2019-09","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Heilongjiang;Daqing","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000040","PRJCA017400","SAMC2820607","Conchophthirus sp.1 P10K","Free living","Extremely Hot/High Altitude","Singles","Ovoid-shaped","Colorless","Heterotroph","Hot spring","Aerobe","31.442703","92.10042","4639","Microabsorption method","2019-08","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Tibet;Nagchu","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000041","PRJCA017400","SAMC2820608","Bryometopus atypicus strain P10K-2","Free living","High Altitude","Singles","Kidney-shaped","Colorless","Heterotroph","Moss","Aerobe","31.115555","92.78058","4889","Microabsorption method","2019-07","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Tibet;Nagchu","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000042","PRJCA017400","SAMC2820609","Cyrtolophosis sp.1 P10K","Free living","High Altitude","Singles","Ovoid-shaped","Colorless","Heterotroph","Moss","Aerobe","31.111988","92.946495","4828","Microabsorption method","2019-07","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Tibet;Nagchu","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000043","PRJCA017400","SAMC2820610","Tetrahymena glochidiophila","Free living","Undefined","Singles","Ovoid-shaped","Colorless","Heterotroph","Fresh water","Aerobe","30.025421","114.97425","353.55","Microabsorption method","2019-10","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Hubei;Daye","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000044","PRJCA017400","SAMC2820611","Cyrtolophosis sp.2 P10K","Free living","High Altitude","Singles","Ovoid-shaped","Colorless","Heterotroph","Moss","Aerobe","42.026287","128.06499","2689","Microabsorption method","2019-09","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Jilin;Yanbian;Changbai Mountain Scenic Area","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000045","PRJCA017400","SAMC2820612","Tetrahymena rostrata strain P10K-3","Free living","Undefined","Singles","Ovoid-shaped","Colorless","Heterotroph","Moss","Aerobe","25.138748","102.74766","NA","Microabsorption method","2019-10","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Yunnan;Kunming","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000046","PRJCA017400","SAMC2820613","Homalogastra sp.1 P10K","Free living","Undefined","Singles","Ovoid-shaped","Colorless","Heterotroph","Moss","Aerobe","30.28976","114.35062","5.6","Microabsorption method","2019-10","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Hubei;Daye","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000047","PRJCA017400","SAMC2820614","Cyrtolophosis sp.3 P10K","Free living","High Altitude","Singles","Ovoid-shaped","Colorless","Heterotroph","Fresh water","Aerobe","29.440603","95.40727","692.09","Microabsorption method","2019-10","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Tibet;Nyingchi","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000048","PRJCA017400","SAMC2820615","Cyrtolophosis sp.4 P10K","Free living","High Altitude","Singles","Ovoid-shaped","Colorless","Heterotroph","Fresh water","Aerobe","29.328835","95.17801","1012.94","Microabsorption method","2019-10","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Tibet;Nyingchi","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000049","PRJCA017400","SAMC2820616","Colpodidium sp.1 P10K","Free living","High Altitude","Singles","Ovoid-shaped","Colorless","Heterotroph","Moss","Aerobe","29.252405","95.23108","1318.04","Microabsorption method","2019-10","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Tibet;Nyingchi","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000050","PRJCA017400","SAMC2820617","Tetrahymena rostrata strain P10K-4","Free living","High Altitude","Singles","Ovoid-shaped","Colorless","Heterotroph","Moss","Aerobe","29.252405","95.23108","1318.04","Microabsorption method","2019-10","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Tibet;Nyingchi","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000051","PRJCA017400","SAMC2820618","Cyrtolophosis mucicola strain P10K-1","Free living","Undefined","Singles","Ovoid-shaped","Colorless","Heterotroph","Fresh water","Aerobe","28.209492","112.99286","NA","Microabsorption method","2019-10","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Hunan;Changsha","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000052","PRJCA017400","SAMC2820619","Dexiotricha colpidiopsis strain P10K-1","Free living","High Altitude","Singles","Ovoid-shaped","Colorless","Heterotroph","Moss","Aerobe","29.250317","95.194084","756.86","Microabsorption method","2019-10","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Tibet;Nyingchi","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000053","PRJCA017400","SAMC2820620","Glaucomidae sp.3 P10K","Free living","Heavy metal pollution(Hg)","Singles","Undefined","Undefined","Undefined","Heavy metal contaminated area","Aerobe","27.635065","109.39003","226.06","Microabsorption method","2019-11","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Guizhou;Wanshan","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000054","PRJCA017400","SAMC2820621","Tetrahymenidae sp.2 P10K","Free living","Heavy metal pollution(Hg)","Singles","Ovoid-shaped","Colorless","Heterotroph","Heavy metal contaminated area","Aerobe","27.635065","109.39003","226.06","Microabsorption method","2019-11","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Guizhou;Wanshan","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000055","PRJCA017400","SAMC2820622","Colpidium striatum strain P10K-2","Free living","Heavy metal pollution(Hg)","Singles","Ovoid-shaped","Colorless","Heterotroph","Heavy metal contaminated area","Aerobe","27.528406","109.229675","520.29","Microabsorption method","2019-11","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Guizhou;Wanshan","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000056","PRJCA017400","SAMC2820623","Vorticella sp.65 P10K","Free living","Undefined","Singles","Bell-shaped","Colorless","Heterotroph","Fresh water","Aerobe","NA","NA","NA","Microabsorption method","2019-10","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Hubei;Ezhou","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000057","PRJCA017400","SAMC2820624","Telotrochidium sp.1 P10K","Free living","Undefined","Singles","Bell-shaped","Colorless","Heterotroph","Fresh water","Aerobe","NA","NA","NA","Microabsorption method","2019-10","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Hubei;Ezhou","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000058","PRJCA017400","SAMC2820625","Vorticella sp.66 P10K","Free living","Undefined","Singles","Bell-shaped","Colorless","Heterotroph","Ditch water","Aerobe","29.847149","113.22615","27","Microabsorption method","2019-10","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Hubei;Jianli","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000059","PRJCA017400","SAMC2820626","Sessilida sp.1 P10K","Free living","Heavy metal pollution(Cd)","Singles","Bell-shaped","Colorless","Heterotroph","Heavy metal contaminated area","Aerobe","27.194305","113.64707","230","Microabsorption method","2019-11","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Hunan;Zhuzhou;Youxian","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000060","PRJCA017400","SAMC2820627","Vorticella sp.5 P10K","Free living","Heavy metal pollution(Hg)","Singles","Bell-shaped","Colorless","Heterotroph","Heavy metal contaminated area","Aerobe","27.529648","109.229324","531.11","Microabsorption method","2019-11","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Guizhou;Wanshan","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000061","PRJCA017400","SAMC2820628","Pseudepistylis songi strain P10K-1","Free living","Undefined","Singles","Bell-shaped","Colorless","Heterotroph","Fresh water","Aerobe","NA","NA","NA","Microabsorption method","2020-01","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Yunnan","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000062","PRJCA017400","SAMC2820629","Spirostomum sp. StJFp2","Free living","Sewage plant","Singles","Cylindrical","Colorless","Heterotroph","Sludge","Aerobe","NA","NA","NA","Microabsorption method","2020-05","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Hubei;Wuhan","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000063","PRJCA017400","SAMC2820630","Paramecium multimicronucleatum strain P10K-1","Free living","Sewage plant","Singles","Shoe-shaped","Colorless","Heterotroph","Sewage","Aerobe","NA","NA","NA","Microabsorption method","2020-05","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Hubei;Wuhan","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000064","PRJCA017400","SAMC2820631","Tokophrya lemnarum strain P10K-1","Free living","Sewage plant","Singles","Triangular","Colorless","Heterotroph","Sewage","Aerobe","NA","NA","NA","Microabsorption method","2020-05","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Hubei;Wuhan","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000065","PRJCA017400","SAMC2820632","Stentor coeruleus strain P10K-1","Free living","Sewage plant","Singles","Trumpet-shaped","Blue","Heterotroph","Sludge","Aerobe","NA","NA","NA","Microabsorption method","2020-05","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Hubei;Wuhan","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000066","PRJCA017400","SAMC2820633","Coleps sp.3 P10K","Free living","Sewage plant","Singles","Ovoid-shaped","Colorless","Heterotroph","Sludge","Aerobe","NA","NA","NA","Microabsorption method","2020-05","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Hubei;Wuhan","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000067","PRJCA017400","SAMC2820634","Acineria sp.1 P10K","Free living","Sewage plant","Singles","Blade-shape","Colorless","Heterotroph","Sewage","Aerobe","NA","NA","NA","Microabsorption method","2020-05","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Hubei;Wuhan","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000068","PRJCA017400","SAMC2820635","Paramecium multimicronucleatum strain P10K-2","Free living","Sewage plant","Singles","Shoe-shaped","Colorless","Heterotroph","Sewage","Aerobe","NA","NA","NA","Microabsorption method","2020-05","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Hubei;Wuhan","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000069","PRJCA017400","SAMC2820636","Spirostomum sp. Ind","Free living","Sewage plant","Singles","Cylindrical","Colorless","Heterotroph","Sewage","Aerobe","NA","NA","NA","Microabsorption method","2020-05","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Hubei;Wuhan","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000070","PRJCA017400","SAMC2820637","Coleps sp.4 P10K","Free living","Sewage plant","Singles","Ovoid-shaped","Colorless","Heterotroph","Sewage","Aerobe","NA","NA","NA","Microabsorption method","2020-05","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Hubei;Wuhan","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000071","PRJCA017400","SAMC2820638","Colepidae sp.2 P10K","Free living","Sewage plant","Singles","Ovoid-shaped","Colorless","Heterotroph","Sewage","Aerobe","NA","NA","NA","Microabsorption method","2020-05","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Hubei;Wuhan","p10k@ihb.ac.cn","From P10K (NGDC)"
"P10K-MW-000072","PRJCA017400","SAMC2820639","Coleps sp.5 P10K","Free living","Sewage plant","Singles","Ovoid-shaped","Colorless","Heterotroph","Sewage","Aerobe","NA","NA","NA","Microabsorption method","2020-05","NA","Institute of Hydrobiology, Chinese Academy of Sciences","Wei Miao","China;Hubei;Wuhan","p10k@ihb.ac.cn","From P10K (NGDC)"
