Species,SampleID,AssemblyID,TotalSize,ScaffoldCount,N50,Completeness,GeneCount,CDSCompleteness,AnnotLevel,SomeNumber
Colpidium striatum strain P10K-1,P10K-MW-000025,GWHDPJZ00000000,108.966436,10961,18802,91.2,12976,4.12299630086313,Low,1
Bryometopus atypicus strain P10K-1,P10K-MW-000026,GWHDPKA00000000,45.97171,2344,57447,95.4,14078,92.1508737036511,High,1
Glaucomidae sp.2 P10K,P10K-MW-000027,GWHDPKB00000000,93.644338,6781,26686,91.2,27850,88.8150807899461,High,1
Colpoda maupasi strain P10K-1,P10K-MW-000028,GWHDPKC00000000,92.261137,18774,7039,78.9,33855,77.7964850095998,Medium,1
Colpoda maupasi strain P10K-2,P10K-MW-000029,GWHDPKD00000000,101.830738,14759,11637,78.9,39997,83.3462509688227,High,1
Colpoda maupasi strain P10K-3,P10K-MW-000030,GWHDPKE00000000,89.149364,18743,6768,77.8,25488,64.4734777150031,Medium,1
Frontonia sp.1 P10K,P10K-MW-000031,GWHDPKF00000000,64.207177,7875,18215,67.3,9428,5.37759864234196,Low,1
Oligohymenophorea sp.2 P10K,P10K-MW-000032,GWHDPKG00000000,68.628718,2929,54347,77.2,8086,0.593618600049468,Low,1
Colpoda maupasi strain P10K-4,P10K-MW-000033,GWHDPKH00000000,25.357766,6708,5182,34.5,13771,75.2087720572217,Medium,1
Glaucoma sp.1 P10K,P10K-MW-000034,GWHDPKI00000000,106.246342,11124,13782,91.2,37336,88.4695736018856,High,1
Paramecium polycaryum strain P10K-1,P10K-MW-000035,GWHDPKJ00000000,41.351937,1498,68583,85.9,12659,96.3583221423493,High,1
Frontoniidae sp.3 P10K,P10K-MW-000036,GWHDPKK00000000,41.979865,6538,14507,73.1,5366,45.3596720089452,Medium,1
Obertrumia georgiana strain P10K-1,P10K-MW-000037,GWHDPKL00000000,12.895464,3229,6205,13.5,1934,0.982419855222337,Low,1
Frontoniidae sp. bLPN3,P10K-MW-000038,GWHDPKM00000000,41.481947,3832,25766,77.8,5801,33.2873642475435,Medium,1
Tetrahymena farahensis strain P10K-1,P10K-MW-000039,GWHDPKN00000000,98.832888,2657,149070,93.6,10324,0.290585044556374,Low,1
Conchophthirus sp.1 P10K,P10K-MW-000040,GWHDPKO00000000,86.366403,2109,132836,74.2,22845,94.9792077040928,High,1
Bryometopus atypicus strain P10K-2,P10K-MW-000041,GWHDPKP00000000,48.902385,2095,68766,97.7,20258,95.1475960114523,High,1
Cyrtolophosis sp.1 P10K,P10K-MW-000042,GWHDPKQ00000000,66.882338,1992,84001,88.9,29405,97.6160516918891,High,1
Tetrahymena glochidiophila,P10K-MW-000043,GWHDPKR00000000,95.297109,7581,39140,89.5,13511,32.6696765598401,Medium,1
Cyrtolophosis sp.2 P10K,P10K-MW-000044,GWHDPKS00000000,70.836628,2794,59509,88.9,35443,97.6779617978162,High,1
Tetrahymena rostrata strain P10K-3,P10K-MW-000045,GWHDPKT00000000,242.638154,21942,23690,90.6,35839,50.1046346159212,Medium,1
Homalogastra sp.1 P10K,P10K-MW-000046,GWHDPKU00000000,50.947382,10960,8689,54.4,12817,39.0731060310525,Low,1
Cyrtolophosis sp.3 P10K,P10K-MW-000047,GWHDPKV00000000,71.952559,5027,32460,90.0,21242,90.3775539026457,High,1
Cyrtolophosis sp.4 P10K,P10K-MW-000048,GWHDPKW00000000,63.230708,5370,27368,86.0,16815,87.7133511745465,High,1
Colpodidium sp.1 P10K,P10K-MW-000049,GWHDPKX00000000,52.281097,4480,33600,92.4,24428,91.9477648599967,High,1
Tetrahymena rostrata strain P10K-4,P10K-MW-000050,GWHDPKY00000000,261.063265,22335,26085,91.3,65028,83.5409362120933,High,1
Cyrtolophosis mucicola strain P10K-1,P10K-MW-000051,GWHDPKZ00000000,53.507215,7215,13907,84.8,19947,86.3337845290019,High,1
Dexiotricha colpidiopsis strain P10K-1,P10K-MW-000052,GWHDPLA00000000,91.256873,1376,203724,86.5,11519,0.816043059293341,Low,1
Glaucomidae sp.3 P10K,P10K-MW-000053,GWHDPLB00000000,93.875686,6835,26938,90.6,27821,88.8070162826642,High,1
Tetrahymenidae sp.2 P10K,P10K-MW-000054,GWHDPLC00000000,102.307535,13063,14713,88.3,37731,86.8172060109724,High,1
Colpidium striatum strain P10K-2,P10K-MW-000055,GWHDPLD00000000,97.464128,9653,16899,88.9,11458,3.89247687205446,Low,1
Vorticella sp.65 P10K,P10K-MW-000056,GWHDPLE00000000,33.637773,7311,6353,60.8,17886,90.3667673040367,Medium,1
Telotrochidium sp.1 P10K,P10K-MW-000057,GWHDPLF00000000,64.036051,3493,36720,64.3,17174,89.9208105275416,Medium,1
Vorticella sp.66 P10K,P10K-MW-000058,GWHDPLG00000000,45.671699,5612,13930,71.3,4122,1.94080543425522,Low,1
Sessilida sp.1 P10K,P10K-MW-000059,GWHDPLH00000000,50.392831,1175,87672,79.5,20792,98.864948056945,High,1
Vorticella sp.5 P10K,P10K-MW-000060,GWHDPLI00000000,37.729111,3978,17941,65.5,16902,96.7932789019051,High,1
Pseudepistylis songi strain P10K-1,P10K-MW-000061,GWHDPLJ00000000,21.51979,3431,9508,53.2,10843,92.7787512680992,Medium,1
Spirostomum sp. StJFp2,P10K-MW-000062,GWHDPLK00000000,48.709181,3555,34983,97.6,17515,96.2432200970597,High,1
Paramecium multimicronucleatum strain P10K-1,P10K-MW-000063,GWHDPLL00000000,71.502801,10874,14877,64.9,33431,87.9423289761,Medium,1
Tokophrya lemnarum strain P10K-1,P10K-MW-000064,GWHDPLM00000000,15.768385,716,90522,28.7,2384,87.3741610738255,Medium,1
Stentor coeruleus strain P10K-1,P10K-MW-000065,GWHDPLN00000000,62.459108,3913,39783,95.9,34946,98.3517426887197,High,1
Coleps sp.3 P10K,P10K-MW-000066,GWHDPLO00000000,109.796328,5904,41265,92.9,28668,86.4064462118041,High,1
Acineria sp.1 P10K,P10K-MW-000067,GWHDPLP00000000,38.669299,4828,13284,91.2,17127,94.3130729257897,High,1
Paramecium multimicronucleatum strain P10K-2,P10K-MW-000068,GWHDPLQ00000000,64.468885,9526,16079,64.3,28653,87.5894321711514,Medium,1
Spirostomum sp. Ind,P10K-MW-000069,GWHDPLR00000000,52.43258,8573,10070,94.1,28746,93.0807764558547,High,1
Coleps sp.4 P10K,P10K-MW-000070,GWHDPLS00000000,91.677244,2802,68141,94.7,32852,95.634968951662,High,1
Colepidae sp.2 P10K,P10K-MW-000071,GWHDPLT00000000,75.160057,5625,29493,90.1,9575,0.407310704960835,Low,1
Coleps sp.5 P10K,P10K-MW-000072,GWHDPLU00000000,11.55648,277,171443,12.2,2968,97.94474393531,Medium,1
Coleps sp.1 P10K,P10K-MW-000073,GWHDPLV00000000,103.691783,4194,53042,93.0,36333,93.7604932155341,High,1
Coleps sp.6 P10K,P10K-MW-000074,GWHDPLW00000000,23.047043,206,424512,13.4,10143,98.6887508626639,Medium,1
Scuticociliatia sp. aLPN3,P10K-MW-000075,GWHDPLX00000000,48.625548,5987,15041,55.6,14422,72.0704479267785,Medium,1
Coleps sp.7 P10K,P10K-MW-000076,GWHDPLY00000000,76.310914,4540,34373,91.3,9790,8.33503575076609,Low,1
Coleps sp.8 P10K,P10K-MW-000077,GWHDPLZ00000000,5.137736,155,111584,7.6,431,0.928074245939675,Low,1
Paramecium pentaurelia,P10K-MW-000078,GWHDPMA00000000,79.111975,4919,37332,71.9,43876,95.3323001185158,High,1
Holophrya sp.1 P10K,P10K-MW-000079,GWHDPMB00000000,46.977995,10203,7715,85.9,21512,78.9698772777984,High,1
Vorticella sp.16 P10K,P10K-MW-000080,GWHDPMC00000000,39.246055,2161,47289,75.4,3161,1.99304017715913,Low,1
Coleps sp.9 P10K,P10K-MW-000081,GWHDPMD00000000,70.586444,6267,21385,87.2,26519,88.0990987593801,High,1
Frontonia sp.2 P10K,P10K-MW-000082,GWHDPME00000000,30.175747,1433,69763,66.1,3919,0.918601684103088,Low,1
Urocentrum turbo strain P10K-1,P10K-MW-000083,GWHDPMF00000000,40.865532,1016,62745,79.6,17383,98.2684231720647,High,1
Vorticella convallaria strain P10K-1,P10K-MW-000084,GWHDPMG00000000,30.91099,2633,18734,69.0,15122,95.1064673984923,High,1
Vorticellides sp.17 P10K,P10K-MW-000085,GWHDPMH00000000,52.566771,1814,74205,70.1,23093,97.9864028060451,High,1
Oligohymenophorea sp.3 P10K,P10K-MW-000086,GWHDPMI00000000,65.880613,2042,67753,82.5,20907,94.5424977280337,High,1
Colepidae sp. bPFT4,P10K-MW-000087,GWHDPMJ00000000,41.997583,6770,10404,56.2,21979,83.174848719232,Medium,1
Lembadion bullinum strain P10K-1,P10K-MW-000088,GWHDPMK00000000,61.882771,7467,28605,74.2,29191,88.815045733274,High,1
Carchesium polypinum,P10K-MW-000089,GWHDPML00000000,11.743161,153,164638,12.3,2003,76.0359460808787,Low,1
Vorticella gracilis,P10K-MW-000090,GWHDPMM00000000,9.768352,1182,73792,19.9,4748,94.229149115417,Medium,1
Colepidae sp.3 P10K,P10K-MW-000091,GWHDPMN00000000,10.835795,239,102318,9.9,3559,97.0497330710874,Medium,1
Litonotus sp.1 P10K,P10K-MW-000092,GWHDPMO00000000,33.602932,12420,3226,76.1,5649,46.8932554434413,Medium,1
Tetrahymena bergeri strain P10K-1,P10K-MW-000093,GWHDPMP00000000,19.040045,4568,6355,19.8,4056,49.7781065088757,Low,1
Colepidae sp.1 P10K,P10K-MW-000094,GWHDPMQ00000000,6.849178,90,151321,9.9,578,24.9134948096886,Low,1
Coleps sp.10 P10K,P10K-MW-000095,GWHDPMR00000000,4.373793,86,90219,6.5,884,96.606334841629,Medium,1
Vaginicola sp.2 P10K,P10K-MW-000096,GWHDPMS00000000,19.262771,2904,40363,28.1,10037,89.8176746039653,Medium,1
Furgasonia blochmanni strain P10K-1,P10K-MW-000097,GWHDPMT00000000,62.90498,5340,27250,93.0,25712,91.1908836341008,High,1
Colepidae sp. bPFT4,P10K-MW-000098,GWHDPMU00000000,89.146747,5439,40623,88.9,39326,91.5882622183797,High,1
Coleps sp.11 P10K,P10K-MW-000099,GWHDPMV00000000,87.650024,3347,72340,80.7,12089,17.1478203325337,Low,1
Telotrochidium sp.2 P10K,P10K-MW-000100,GWHDPMW00000000,56.391696,1307,97283,62.0,23681,98.4671255436848,High,1
Carchesium sp.1 P10K,P10K-MW-000101,GWHDPMX00000000,24.572674,1321,148486,32.7,10636,97.141782625047,Medium,1
Opisthonecta minima strain P10K-1,P10K-MW-000102,GWHDPMY00000000,54.42419,1126,94718,78.9,22263,98.679423258321,High,1
Vorticella sp.67 P10K,P10K-MW-000103,GWHDPMZ00000000,43.975571,3258,35832,74.3,19185,97.4354964816263,High,1
Tetrahymena hyperangularis,P10K-MW-000104,GWHDPNA00000000,90.77659,3781,91500,91.8,9166,46.2360898974471,Medium,1
Vorticella sp.68 P10K,P10K-MW-000105,GWHDPNB00000000,16.756938,1863,29853,36.2,2482,72.32070910556,Medium,1
Pseudovorticella alani strain P10K-1,P10K-MW-000106,GWHDPNC00000000,31.656936,1505,42518,71.4,3006,1.79640718562874,Low,1
Pseudovorticella alani strain P10K-2,P10K-MW-000107,GWHDPND00000000,33.458482,1572,49186,74.2,5110,88.2191780821918,High,1
Tetrahymena canadensis,P10K-MW-000108,GWHDPNE00000000,106.691642,4346,196548,95.4,14619,78.5758259798892,High,1
Obertrumia georgiana strain P10K-2,P10K-MW-000109,GWHDPNF00000000,11.168984,134,225062,11.7,1112,66.9964028776978,Low,1
Frontoniidae sp. bAcq1,P10K-MW-000110,GWHDPNG00000000,41.725254,5850,13867,78.4,5857,0.546354789141199,Low,1
Obertrumia georgiana strain P10K-3,P10K-MW-000111,GWHDPNH00000000,55.77031,11965,7049,56.7,19039,69.5992436577551,Medium,1
Tetrahymena rostrata strain P10K-5,P10K-MW-000112,GWHDPNI00000000,14.251968,3423,6782,9.4,4228,65.6575212866604,Low,1
Epistylis sp.1 P10K,P10K-MW-000113,GWHDPNJ00000000,11.229071,511,76338,13.5,2424,93.9356435643564,Medium,1
Sessilida sp.2 P10K,P10K-MW-000114,GWHDPNK00000000,60.625669,2299,54037,52.6,20972,98.3549494564181,Medium,1
Campanella umbellaria strain P10K-1,P10K-MW-000115,GWHDPNL00000000,53.321798,3355,35210,44.4,4980,29.0562248995984,Low,1
Campanella sp.1 P10K,P10K-MW-000116,GWHDPNM00000000,45.672789,2236,42191,41.0,3882,1.4940752189593,Low,1
Coleps hirtus hirtus strain P10K-1,P10K-MW-000117,GWHDPNN00000000,8.124366,199,257265,10.5,1852,98.5421166306696,Medium,1
Zoothamnium sp.1 P10K,P10K-MW-000118,GWHDPNO00000000,40.067211,3426,28274,59.7,2769,3.93643914770675,Low,1
Epistylis sp.2 P10K,P10K-MW-000119,GWHDPNP00000000,46.518811,3392,30904,50.3,21821,96.3383896246735,Medium,1
Colpoda maupasi strain P10K-5,P10K-MW-000120,GWHDPNQ00000000,110.282234,15762,11952,86.5,42653,83.8885893137646,High,1
Conchophthirus sp.2 P10K,P10K-MW-000121,GWHDPNR00000000,85.577736,3258,62870,71.3,12172,23.8333881038449,Low,1
Levicoleps sp.1 P10K,P10K-MW-000122,GWHDPNS00000000,92.116963,7190,22030,90.1,31465,88.9782297791197,High,1
Colepidae sp. bPFT4,P10K-MW-000123,GWHDPNT00000000,74.516705,5227,31103,89.5,27184,90.6599470276633,High,1
Levicoleps taehwae strain P10K-1,P10K-MW-000124,GWHDPNU00000000,71.470504,2752,45920,94.8,26455,95.3090153090153,High,1
Colepidae sp. bPFT4,P10K-MW-000125,GWHDPNV00000000,78.674807,3356,57216,94.2,29104,93.2792743265531,High,1
Colepidae sp.4 P10K,P10K-MW-000126,GWHDPNW00000000,77.241554,3478,47338,89.5,28050,93.6862745098039,High,1
Heliophrya sp.1 P10K,P10K-MW-000127,GWHDPNX00000000,15.074209,669,128775,25.8,4195,97.8307508939213,Medium,1
Epistylis sp.3 P10K,P10K-MW-000128,GWHDPNY00000000,45.893717,4180,24588,53.2,21922,95.5387282182283,Medium,1
Lembadion bullinum strain P10K-2,P10K-MW-000129,GWHDPNZ00000000,73.031646,8114,23964,75.4,32635,88.0006128389766,High,1
Oligohymenophorea sp.4 P10K,P10K-MW-000130,GWHDPOA00000000,37.962874,3038,22617,45.6,4826,0.683796104434314,Low,1
Amphileptus sp.1 P10K,P10K-MW-000131,GWHDPOB00000000,31.417068,5351,13782,85.4,12475,88.0080160320641,High,1
Loxophyllum sp.2 P10K,P10K-MW-000132,GWHDPOC00000000,44.75785,9639,6749,85.9,5098,0.451157316594743,Low,1
Obertrumia georgiana strain P10K-4,P10K-MW-000133,GWHDPOD00000000,7.723381,507,38710,11.7,922,40.5639913232104,Low,1
Pseudovorticella alani strain P10K-3,P10K-MW-000134,GWHDPOE00000000,42.903918,1705,49216,72.5,6857,90.097710368966,High,1
Ophrydium versatile strain P10K-1,P10K-MW-000135,GWHDPOF00000000,70.08566,5503,34801,71.3,29932,93.2714152078044,High,1
Ophrydium versatile strain P10K-2,P10K-MW-000136,GWHDPOG00000000,42.479084,8135,9234,64.3,18937,87.9864814912605,Medium,1
Paramecium multimicronucleatum strain P10K-3,P10K-MW-000137,GWHDPOH00000000,61.005563,9440,16568,65.4,28622,87.8799524841031,Medium,1
Paramecium caudatum,P10K-MW-000138,GWHDPOI00000000,40.313988,1807,76081,80.7,2923,18.8504960656859,Low,1
Spathidium papilliferum strain P10K-1,P10K-MW-000139,GWHDPOJ00000000,46.278668,9156,8740,92.4,16234,92.0598743378095,High,1
Spathidium sp.1 P10K,P10K-MW-000140,GWHDPOK00000000,48.449886,20156,2757,72.5,16054,77.2268593496948,Medium,1
Spathidium sp.2 P10K,P10K-MW-000141,GWHDPOL00000000,31.195473,3234,24638,90.0,3029,0.693298118190822,Low,1
Stentor coeruleus strain P10K-2,P10K-MW-000142,GWHDPOM00000000,58.690812,4290,29063,95.3,33395,97.655337625393,High,1
Stentor coeruleus strain P10K-3,P10K-MW-000143,GWHDPON00000000,58.969308,4030,27779,97.1,33525,97.5152870991797,High,1
Vaginicola sp.1 P10K,P10K-MW-000144,GWHDPOO00000000,45.37552,3987,20084,67.8,4190,49.1408114558473,Medium,1
Vaginicola sp.3 P10K,P10K-MW-000145,GWHDPOP00000000,55.933699,3088,32162,50.9,18627,95.5065227894991,Medium,1
Vaginicola sp.4 P10K,P10K-MW-000146,GWHDPOQ00000000,44.683371,4230,22166,49.7,15539,93.5645794452667,Medium,1
Vorticella sp.6 P10K,P10K-MW-000147,GWHDPOR00000000,23.066968,2744,54309,34.5,3416,52.0491803278688,Low,1
Vorticella convallaria strain P10K-2,P10K-MW-000148,GWHDPOS00000000,42.039716,3841,20821,79.0,3401,2.38165245516025,Low,1
Vorticella sp.18 P10K,P10K-MW-000149,GWHDPOT00000000,37.779947,4118,16517,70.8,19664,93.1855166802278,High,1
Vorticella convallaria strain P10K-3,P10K-MW-000150,GWHDPOU00000000,42.03613,1516,57462,75.4,19680,98.6026422764228,High,1
Vorticella convallaria strain P10K-4,P10K-MW-000151,GWHDPOV00000000,39.69562,1701,44726,77.8,16646,99.2070167007089,High,1
Vorticella convallaria strain P10K-5,P10K-MW-000152,GWHDPOW00000000,34.714441,2308,23900,67.3,16831,95.57958528905,High,1
Vorticella convallaria strain P10K-6,P10K-MW-000153,GWHDPOX00000000,47.094658,8437,9121,77.2,13964,91.9149240905185,High,1
Vorticella sp.69 P10K,P10K-MW-000154,GWHDPOY00000000,26.532334,3653,10632,59.1,10793,94.9133697767071,Medium,1
Vorticella sp.70 P10K,P10K-MW-000155,GWHDPOZ00000000,36.388719,1752,33796,78.9,15724,97.5705927244976,High,1
Telotrochidium sp.3 P10K,P10K-MW-000156,GWHDPPA00000000,57.447667,5870,14711,53.8,25128,94.8901623686724,Medium,1
Vorticella sp.71 P10K,P10K-MW-000157,GWHDPPB00000000,42.589863,8182,8215,67.9,22762,88.8586240224936,Medium,1
Vorticella sp.72 P10K,P10K-MW-000158,GWHDPPC00000000,41.373273,2504,25530,79.0,4135,1.40266021765417,Low,1
Vorticella microstoma strain P10K-1,P10K-MW-000159,GWHDPPD00000000,41.39122,5070,13586,72.5,17327,92.9531944364287,High,1
Vorticella sp.73 P10K,P10K-MW-000160,GWHDPPE00000000,31.55837,2844,17466,67.8,17336,98.7367328103369,High,1
Vorticella convallaria strain P10K-7,P10K-MW-000161,GWHDPPF00000000,12.119362,1929,9205,29.2,7018,93.5736677115987,Medium,1
Coleps sp.16 P10K,P10K-MW-000162,GWHDPPG00000000,8.87578,228,128426,12.9,2457,96.4183964183964,Medium,1
Vorticella sp.7 P10K,P10K-MW-000163,GWHDPPH00000000,38.549402,3254,24625,77.8,4216,1.0673624288425,Low,1
Vorticella sp.96 P10K,P10K-MW-000164,GWHDPPI00000000,7.683414,182,82615,9.4,656,24.2378048780488,Low,1
Coleps hirtus hirtus strain P10K-2,P10K-MW-000165,GWHDPPJ00000000,21.15447,138,303373,14.5,4494,96.617712505563,Medium,1
Frontoniidae sp. bLPN3,P10K-MW-000166,GWHDPPK00000000,37.864272,5114,18348,69.6,9620,76.7671517671518,Medium,1
Sessilida sp.3 P10K,P10K-MW-000167,GWHDPPL00000000,39.602374,1221,65418,80.1,17801,98.0001123532386,High,1
Obertrumia georgiana strain P10K-5,P10K-MW-000168,GWHDPPM00000000,6.951576,302,164734,12.8,2599,97.9222777991535,Medium,1
Opisthonecta minima strain P10K-2,P10K-MW-000169,GWHDPPN00000000,33.948648,809,101700,76.1,14955,98.555667001003,High,1
Vorticella sp.74 P10K,P10K-MW-000170,GWHDPPO00000000,43.566454,5363,16785,74.3,22804,93.3345027188213,High,1
Vorticella sp.19 P10K,P10K-MW-000171,GWHDPPP00000000,46.142014,4978,22036,74.3,23359,94.0536838049574,High,1
Vorticella sp.8 P10K,P10K-MW-000172,GWHDPPQ00000000,39.420632,2754,27544,55.0,2793,3.3655567490154,Low,1
Vorticella sp.75 P10K,P10K-MW-000173,GWHDPPR00000000,43.295383,2267,28529,78.3,17381,98.5846614118865,High,1
Vorticella sp.76 P10K,P10K-MW-000174,GWHDPPS00000000,6.435546,342,70906,15.8,1237,89.8949070331447,Medium,1
Vorticella sp.17 P10K,P10K-MW-000175,GWHDPPT00000000,41.608524,1702,54591,76.1,13755,98.4005816066885,High,1
Telotrochidium sp.4 P10K,P10K-MW-000176,GWHDPPU00000000,17.453106,2065,18729,30.4,8886,92.3475129417061,Medium,1
Vorticella sp.77 P10K,P10K-MW-000177,GWHDPPV00000000,50.735998,8464,10949,77.1,24369,90.3401863022693,High,1
Vorticella sp.78 P10K,P10K-MW-000178,GWHDPPW00000000,9.023849,1607,75497,17.5,3848,85.8627858627859,Medium,1
Telotrochidium sp.5 P10K,P10K-MW-000179,GWHDPPX00000000,59.788747,4396,21830,53.8,5966,49.832383506537,Medium,1
Vorticella sp.9 P10K,P10K-MW-000180,GWHDPPY00000000,47.751036,3824,25341,70.1,21548,97.5171709671431,High,1
Sessilida sp.4 P10K,P10K-MW-000181,GWHDPPZ00000000,7.728132,396,99565,11.2,3394,98.3205657041838,Medium,1
Vorticella sp.10 P10K,P10K-MW-000182,GWHDPQA00000000,36.065598,3350,19907,69.6,8847,96.3264383406805,High,1
Vorticella sp.79 P10K,P10K-MW-000183,GWHDPQB00000000,37.337192,1729,39342,74.3,6211,93.0767992271776,High,1
Telotrochidium sp.6 P10K,P10K-MW-000184,GWHDPQC00000000,36.70037,9629,5084,29.8,4095,47.6434676434676,Low,1
Vaginicola sp.5 P10K,P10K-MW-000185,GWHDPQD00000000,48.632712,4073,91862,35.7,24774,96.3913780576411,Medium,1
Vorticella aequilata strain P10K-1,P10K-MW-000186,GWHDPQE00000000,16.633751,301,247623,15.2,7146,99.3982647635041,Medium,1
Sessilida sp.5 P10K,P10K-MW-000187,GWHDPQF00000000,36.334572,2502,33264,59.6,16211,95.4228610202949,Medium,1
Sessilida sp.6 P10K,P10K-MW-000188,GWHDPQG00000000,36.084352,4845,14228,45.6,3461,52.2392372146778,Low,1
Vorticella convallaria strain P10K-8,P10K-MW-000189,GWHDPQH00000000,14.916098,3294,5964,31.6,6855,93.3916849015317,Medium,1
Vorticella sp.2 P10K,P10K-MW-000190,GWHDPQI00000000,40.864928,8440,8622,61.4,13411,87.2269032883454,Medium,1
Opisthonecta sp.8 P10K,P10K-MW-000191,GWHDPQJ00000000,35.95752,5458,11222,70.2,16547,91.6661630507041,High,1
Vorticella convallaria strain P10K-9,P10K-MW-000192,GWHDPQK00000000,41.523662,1872,44207,80.7,18192,98.9665787159191,High,1
Carchesium sp.2 P10K,P10K-MW-000193,GWHDPQL00000000,41.930993,3038,21487,67.2,15863,98.1340225682406,High,1
Carchesium polypinum,P10K-MW-000194,GWHDPQM00000000,35.356326,3252,18794,73.1,16513,95.2037788409132,High,1
Vorticella sp.80 P10K,P10K-MW-000195,GWHDPQN00000000,44.496148,7617,9998,70.8,9925,82.6599496221663,Medium,1
Vorticella sp.20 P10K,P10K-MW-000196,GWHDPQO00000000,8.233801,1758,6437,26.3,1464,79.5765027322404,Medium,1
Vorticella sp.94 P10K,P10K-MW-000197,GWHDPQP00000000,39.248825,2570,35691,63.7,6691,89.8221491555821,Medium,1
Vorticella sp.11 P10K,P10K-MW-000198,GWHDPQQ00000000,44.584681,1756,54421,70.1,3916,60.9805924412666,Medium,1
Cyclidium sp.1 P10K,P10K-MW-000199,GWHDPQR00000000,68.317902,4353,27902,68.4,7677,0.690373843949459,Low,1
Cyclidium marinum strain P10K-1,P10K-MW-000200,GWHDPQS00000000,70.480582,5939,23548,70.2,17743,79.4905032970749,Medium,1
Paramecium duboscqui strain P10K-1,P10K-MW-000201,GWHDPQT00000000,40.170606,7711,12024,70.2,3731,2.65344411685875,Low,1
Euplotes sp.1 P10K,P10K-MW-000202,GWHDPQU00000000,33.265333,5109,10906,49.1,-1,-1.0,NA,0
Cyclidium sp.2 P10K,P10K-MW-000203,GWHDPQV00000000,69.65823,4305,32045,72.0,13105,76.3449065242274,Medium,1
Litonotus sp.2 P10K,P10K-MW-000204,GWHDPQW00000000,42.013871,7329,8741,87.2,14990,95.9839893262175,High,1
Opisthonecta sp.1 P10K,P10K-MW-000205,GWHDPQX00000000,35.695527,3379,19173,75.5,15900,94.4276729559748,High,1
Oligohymenophorea sp.5 P10K,P10K-MW-000206,GWHDPQY00000000,67.299812,1916,85753,77.8,18067,93.385730890574,High,1
Cryptocaryon sp.1 P10K,P10K-MW-000207,GWHDPQZ00000000,78.51802,4431,30650,69.6,21055,86.0270719544051,Medium,1
